Problem1,learning_error,0
Problem1,learning_paths,252
Problem1,learning_states,96
Problem11,learning_error,20
Problem11,learning_paths,296
Problem11,learning_states,92
Problem12,learning_error,16
Problem12,learning_paths,3292
Problem12,learning_states,1124
Problem13,learning_error,16
Problem13,learning_paths,284
Problem13,learning_states,88
Problem14,learning_error,24
Problem14,learning_paths,2284
Problem14,learning_states,672
Problem15,learning_error,41
Problem15,learning_paths,2004
Problem15,learning_states,604
Problem16,learning_error,12
Problem16,learning_paths,2480
Problem16,learning_states,808
Problem17,learning_error,41
Problem17,learning_paths,8496
Problem17,learning_states,2500
Problem18,learning_error,6
Problem18,learning_paths,6332
Problem18,learning_states,2368
Problem19,learning_error,0
Problem19,learning_paths,10372
Problem19,learning_states,3000
Problem2,learning_error,0
Problem2,learning_paths,248
Problem2,learning_states,96
Problem3,learning_error,0
Problem3,learning_paths,260
Problem3,learning_states,100
Problem4,learning_error,0
Problem4,learning_paths,2208
Problem4,learning_states,688
Problem5,learning_error,0
Problem5,learning_paths,16
Problem5,learning_states,12
Problem6,learning_error,0
Problem6,learning_paths,2156
Problem6,learning_states,732
Problem7,learning_error,0
Problem7,learning_paths,4
Problem7,learning_states,8
Problem8,learning_error,0
Problem8,learning_paths,8732
Problem8,learning_states,2668
Problem9,learning_error,0
Problem9,learning_paths,9576
Problem9,learning_states,2788
